G-word;E-word;WdNum;VAL_Mean;VAL_SD;ARO_Mean_(ANEW);ARO_SD_(ANEW);ARO_Mean_(BAWL);ARO_SD_(BAWL);DOM_Mean;DOM_SD;POT_Mean;POT_SD;IMA_MEAN;IMA_SD;freq_Leipzig;freq_SUBTLEX;#_letters;#_syllables;word_class;N_orth;HFN;NF_MAX;F_SUM
Insekt;insect;816;-0.45;1.32;5.20;1.74;3.00;1.19;6.75;1.55;4.23;1.54;5.41;1.22;44.00;3.35;6;2;S;1;0;0.33;0.33
Beleidigung;insult;817;-2.00;0.88;6.50;1.70;3.77;0.82;5.19;1.62;6.56;1.04;2.50;1.10;280.00;6.46;11;4;S;0;0;0.00;0.00
Intellekt;intellect;818;1.31;1.01;4.85;1.84;2.58;0.99;6.81;0.95;5.85;1.67;2.40;1.64;48.00;1.14;9;3;S;0;0;0.00;0.00
Geschlechtsverkehr;intercourse;819;1.47;0.99;6.75;2.15;4.19;0.80;6.75;1.50;6.58;1.55;5.95;1.39;68.00;1.65;18;4;S;0;0;0.00;0.00
intim;intimate;821;1.30;0.67;6.30;2.23;3.79;0.98;6.44;1.23;5.20;1.84;3.89;1.17;46.00;2.17;5;2;A;0;0;0.00;0.00
Eindringling;intruder;822;-1.19;1.17;7.05;1.27;3.85;0.92;3.94;2.14;6.53;1.20;3.60;1.50;43.00;4.37;12;3;S;0;0;0.00;0.00
Eindringling;intruder;822;-1.19;1.17;7.05;1.27;3.85;0.92;3.94;2.14;6.53;1.20;3.60;1.50;43.00;4.37;12;3;S;0;0;0.00;0.00
investieren;invest;824;0.73;1.16;4.65;2.13;2.77;1.11;5.69;1.11;5.52;0.96;2.85;1.53;1523.00;4.80;11;4;V;1;0;0.00;0.00
Stück;item;825;0.00;0.37;3.85;1.42;2.31;1.05;4.94;1.25;4.60;1.00;3.95;1.54;136.00;126.50;5;2;S;2;0;20.50;22.67
Witz;joke;826;1.48;0.74;5.25;1.55;3.33;0.96;6.06;1.76;5.15;1.37;3.24;2.02;741.00;83.19;4;1;S;3;1;51.17;52.00
jovial;jolly;827;-0.06;1.12;4.30;1.59;2.81;0.94;4.94;1.07;5.64;1.22;1.75;1.12;25.00;0.04;6;3;A;0;0;0.00;0.00
Veröffentlichung;journal;828;0.46;0.88;5.25;1.62;2.54;1.03;4.69;0.93;5.48;1.26;3.20;1.74;896.00;1.38;16;5;S;0;0;0.00;0.00
Kanne;jug;829;0.60;0.60;3.55;1.85;1.68;0.95;5.94;1.32;4.28;1.65;5.32;1.59;29.00;1.69;5;2;S;4;3;12.00;26.50
Taschentuch;kerchief;830;0.00;0.65;3.45;1.61;1.96;0.87;5.88;1.73;3.12;1.48;6.15;1.53;53.00;5.20;11;3;S;1;0;1.83;1.83
